chunk3360 我这儿把电池放里面它怎么显示换电失败是怎么回事
chunk1729 要不要我们就加微信什么之类的我们先检查一下电池
chunk7188 我刚才有个寄存然后它显示失败了但是我现在人不在那边了
chunk4930 说我租一个月的电池嘛然后到时候我用租电开到学校去那我一直把电池放到我车里面应该没事吧
chunk2801 我今天刚用这锂换电池说免费不是可以领一根线吗扫码线没出来
chunk1432 你看一下我电池出的是六十伏max的能不能换成六十伏
chunk1980 那是线路问题吗我说是不是线路问题
chunk6882 你们西城建工北里二区东门二号柜的电池电池柜我咋没找到
chunk10 你们中山市只有是靠近珠海这一边才有望天柜是吗
chunk4340 我在换电然后扫码的时候电箱开了以后我把电池放到那里面也是红色的然后再也没有出来电池怎么回事
chunk2165 我刚才说押金的套餐弄错了然后怎么改成普通的四十八伏
chunk6314 我前面我寄存了电池为什么扫不出来呀
chunk1792 我这儿充电呢就插座不行充了我等于说我白花了两块钱走了
chunk7692 我现在把电池退了因为我那时候是信用没有信用分抵押现在我是怎么处理
chunk8152 我这里怎么支付宝显示逾期了这锂换电
chunk125 我这电池取不出来了
chunk5508 我在燕郊这边换电然后他箭头不
chunk4785 你们电工能不能解决
chunk6999 退电池的然后柜子里面显示它是不足两格空柜然后就不能退款
chunk2246 现在不是有上新了一个六十max电池吗
chunk643 我手机号码绑定了另外一个微信我想把手机直接绑了另外一个微信号码手机怎么退出来呀
chunk623 我这边有一个套餐要转掉我电话号码先报你一下你帮我看一眼
chunk5141 取了电池才开始计算是吧
chunk2005 我这边在厦门租的电池我去了泉州之后可以换电吗
chunk126 我这边小区的充电桩嘛然后这里一排十个充电桩我换了三个每个都交钱了但是他都充不起来
chunk3162 说我在这边租的电池租的是六十伏的我套餐是六十伏的但是这边的电柜里面只是四十八伏的
chunk5902 我换电的时候不小心把线材放进去了你可以帮我打开一下吗四号
chunk1209 说我把电池放到换电柜里了它柜门没打开然后我又是重新扫码
chunk4999 我最近充电充了几次我就发现没到时间我也没充完然后就断电了然后断电了以后结果余额也没给我退回来就直接还是扣的原费
chunk38 刚才我换电的时候无意中把我东西给落进去了能不能帮我开一下柜子呀
chunk2401 我刚才把这个电池退到电柜里了然后退押金它上面显示我这个退押金什么信息不存在啊
chunk7629 我这边我电瓶然后换出来之后电瓶是坏的然后再次放进去换的话它换不了了呀
chunk5199 我从开始充我给你说一下我第一次充不是你看一下我九月十四号有一笔
chunk2200 我电柜放在202012160054柜子柜子4号柜门里面去了换电时电池吞到里面去了它指示灯也不亮
chunk256 麻烦您把我套餐改成六十伏了吧我把我四十八伏的套餐改成六十伏的
chunk3142 我电池走不了了这里没满电的能退一个出来不我把车开一下不然没地方换电了
chunk3303 我问想六十MAX电池是杭州这边多吗
chunk7020 我想让你帮我看一下电池如果是不是寄存三个月之后是不是要重新寄存一下
chunk7331 我电池用了10天退掉钱退到我支付宝里来
chunk1366 我刚才换电的时候电池没弹出来
chunk7494 你给我开下柜换一下电池
chunk2305 就我今天刚说一下你们充电柜里的电然后我刚拿出电池看一下我发现他头跟我车上的头接不上
chunk7661 我跟客服说过了他说不能退我说我之前使用过我之前使用过使的是那什么呀使的是另一个车我就刚换了一个车就确定用电瓶用不了
chunk7308 我还是还剩下38的电怎么突然断电了
chunk4017 我刚充电四分钟就充电结束了
chunk3849 你帮我看一下我套餐是在深圳市宝安区买的套餐然后我想开去佛山那边你帮我看一下佛山那边能换吗能换电吗佛山市是吧
chunk1782 电池取出来电池太大我这箱子装不下我这九号电动车的箱子已经够大了但是电池更大我现在想把它换成小的换不回来了
chunk6411 我之前不是押金退然后提现提现之前提现失败了嘛然后我重新提现它提现什么时候能到账
chunk1435 为什么现在新人需要以实名后还要联系客服呢
chunk1717 我退掉了上次扣我一期的五百他现在是怎么处理呀
chunk3236 如果是说我拿个码给新用户邀请下载之后他那边第一个月是多少
chunk7515 我这边有个电柜他们有个人还电池把电柜全部塞满了现在拿不出电池来能帮我开个柜门拿一个出来吗
chunk795 我车电池丢了你能不能帮我定位一下在哪里
chunk1982 你看一下我电池我又续了十次为什么用不了
chunk3889 你帮我查一下市政府附近有没有换电柜
chunk350 我想把我套餐寄存了到我现在拿电池的怎么找不到呢
chunk555 四十八的有的时候就没选吗
chunk6786 我电池是寄存的
chunk1084 我刚扫的电池被我扫错了我能不能退一下我扫我们内部的
chunk4262 因为我线我扫线总共是我扫一下子他门柜子门没打开呀我再扫他一下我出二十块钱是购买
chunk2988 是我要回老家我要寄存但是我到十二我到十二十二天左右到期了我回不来怎么办
chunk2020 我还得重新购买一个是吗
chunk2224 我有几次怎么充电充了两三个小时就断掉了
chunk5031 咱寄存电池是限制时间什么的吗
chunk4167 身份证身份证号码写错了是吧
chunk6607 我这个电池你能帮我开启一下应急模式吗我不是车的放电池地方是电动的现在车没电了换不了电池
chunk6091 我有块电瓶锁在里面了
chunk3478 我刚才扫了一下电池然后他们还没给我再开门
chunk375 你帮我看一下这锂换电柜子有一号柜打不开坏了柜门坏了
chunk387 我刚才电池放进去了完了没放好我把柜门关上他没点电池他现在也不给我挡起来
chunk4574 这边是我想用短期套餐他不是有两天五天跟一个星期了对吧
chunk7957 我换电我把电池放里边了这别的门也不弹吗
chunk6837 我有一个手机忘家了手机绑的换电账号然后我现在没法换电
chunk3317 我这现在是过期几天了怎么没有提示呢
chunk3383 我刚才送了一单外卖我送到地方他附近没有换电的地方怎么办
chunk4329 我怎么样换一个这锂的换电线有特殊要求吗
chunk1368 我回家的时候存了个电池为什么现在拿不出来呀
chunk2248 我这边电池换电的时候没有柜子了
chunk6113 按量收费是什么意思
chunk7655 我这还有百分之十二的电池为什么它显示是异常呢
chunk4108 你们电池为什么现在又跑不快了呀
chunk1102 我是新用户吧算是这锂换电的我在电柜上看着电话我想以后经常用咱换电柜有什么优惠什么什么的吗
chunk4164 主要那电池换放不进去比我箱子高出一块来他那插座那也不匹配他给的那线也用不了是不是就不合适
chunk5159 不是你们充电结束它里边的钱不退是吧
chunk1548 我支付宝套餐费扣了上面天数没有变呢
chunk2589 我这个电池放进去了它不弹出来他说显示电池未放入但我已经放进去了他现在拿也拿不出啊
chunk3928 我这边换电池的时候不小心把里面的插头给放进去了取不出来了
chunk3054 电动车配电的啥时候能申请成功现在审核中
chunk2381 换电柜的号是吧
chunk3856 我们叮咚买菜放的你们这锂换电它有个柜子打不开了你们后台能不能打开我把编码告诉下你们20230717
chunk1720 你把钱发给我
chunk1311 我这电池能不能换一个号码
chunk4716 我电池然后把用完的电池放在里边然后它弹出新电什么直接卡住了出不来
chunk576 我刚才换电的时候不小心把它给关上了有人帮我打开一下吧
chunk22 我换电然后我扫进去把电池推了进去然后没弹电池出来电池都给我吃了
chunk179 我设置好了设置到银行卡了麻烦帮我退一下退一下款
chunk3652 锂电池我现在换电电池塞不进去怎么办
chunk3216 我刚换了个新电瓶车嘛我现在电瓶车的电瓶说显示有点小了说没有我用六十码的可以吗
chunk4212 刚才我换电把电池放进去了呀那我他没有弹出来
chunk3155 我刚打电话说我的界面上面没有显示换电站
chunk2289 我刚买了套餐然后我换电电池型号不匹配能不能退套餐套餐钱怎么退
chunk1567 今天晚上我拉一个新人叫莫朝军我为什么平台上面没显示
chunk3428 电池我寄存了我在东莞这里面有扫了扫这锂它有异常它无法显示了
chunk903 刚才我换电的时候他刚才我换电的时候我餐盘打开了然后我不小心我又把仓板关了现在取不出电池怎么办呢
chunk897 你们投诉热线是怎么打的呀
chunk5272 我现在要求你们退我三块不是退我两块三
chunk5603 我押金扣了没有
chunk6755 我这第一回用这APP上面写了四十八伏我不可用这是什么意思
chunk7903 我已经扫了三四次电池都换不了了
chunk5198 电池转换转换成六十伏的怎么转换不了
chunk631 我是锂换电这我是在高碑店这边然后早晨七点多显示我还了把什么是暂存了在柜机上然后呢它显示我没有存好
chunk4690 我在常熟市李达路三百二十七号这边换电然后电柜打开了我就要去已使用过的电瓶放在里面怎么他好像接不上放不了电
chunk4559 我刚免费寄存电池我怎么没显示成功我电池都放进去了
chunk1150 这锂换电不是有现在有两个柜子吗一个一个普通柜子一个加大号的柜子柜线材跟普通的是一样的吗
chunk7316 我报一下编码你帮我查一下我能不能寄存呢好像没有空格了
chunk4845 我充电卡现在不能充电
chunk7238 我是帮别人咨询的我是跑腿
chunk7334 我给你们打电话你们光说来修来修也不来修到底行不行一个月就这么多钱
chunk7765 小区附近有没有换电站我这边看不到
chunk3234 我有个换电的我电池放进去的是一号柜的你电池充满电的都没有弹开来我现在电池都是换掉了锁进里面去里面满电的都没有弹出来门
chunk1295 这锂换电我是我套餐到期了电池因为还有一点电我暂时还没有说退回去期间如果有逾期是不会扣钱的吧
chunk1903 我寄存电池以后再取的话是按当天的还是按小时计算的就是剩余额小时计算的
chunk820 我提线钱为什么这么久没到账
chunk3883 今天上午你们什么专主号码打电话给我什么事这锂的
chunk6253 我用到月底他归还怎么还
chunk6410 你帮我查询一下吧昨天我充电了没有充进去
chunk3429 扫码失败是怎么回事
chunk2860 我买了电池套餐以后然后我把电池取出来了然后跟我的电动箱不匹配套餐能退吗
chunk1151 我要打开后电柜给他跟我说换电失败请关闭打开一个箱门这换电柜的箱门都是关着的我怎么打开
chunk5442 我在十月二号电池寄存了然后我今天取出来的时候怎么只剩下一个小时了呀
chunk2159 为什么我这边的充电桩我充上去之后他就马上给我断电说我充电失败充不上去已经三次了
chunk818 我电池还了之后它上面显示没有没有寄存成功但是我电箱已经扫进去了电池放进去了
chunk3841 我刚才在这锂换电上面我就申请一个免押金的
chunk1690 他只能在靠信用
chunk6849 我没把账号告诉别人情况下我觉得电池被别人取走了然后我上午已经打过你们客服了然后他让我报警我现在我要知道他当时取的换电柜的地址是在哪里
chunk6780 我电池放进去了它好像是灯没亮然后舱门也关上了
chunk43 我取的电池怎么取不了线柜子电柜上面
chunk3688 你们说充电充的断了电这费也就电也充不上你费也不退给你
chunk4956 我刚才申请这里换电一下说交了电池钱了我到从配件柜上去拿电池是吗
chunk805 我这号现在有一块马上到期了完了我同时能租两块是不
chunk6537 我电瓶车电池我第一次用嘛放不进去然后电也不匹配就我套餐可以退吗
chunk312 我刚买了套餐然后我扫码换电的时候它显示未知换电站无法取电是什么情况
chunk4583 我刚电池取不出来旁边有辆车卡住了
chunk1709 这电池我不用了为什么我这里还显示一个待付款的五百押金
chunk8462 我电瓶被人偷走的话是需要赔偿多少钱
chunk5839 我电瓶在电瓶车里放吗是让你们取走了吗
chunk2557 我买了一个套餐但是我年前把电退了退了之后我过来之后它就显示让我把电弄进去然后再怎么样怎么办呢
chunk5307 感觉线应该没问题因为一次不太好
chunk3728 前面电池它检测不到反馈到现在还没联系我什么时候能联系我说有刚才超时了
chunk5292 我换工作了我电池不租了我现在还进去他怎么APP上显示还我还在用呢
chunk5916 之前我一个朋友他骑我车后面他自己开了个套餐我电他给我换到别的地方去了然后他用他的套餐换了个电然后我现在要换电换不了了是什么情况呀
chunk1098 我想租这锂换电max嘛然后要不要押金呢
chunk2699 就普福家园北区充电桩怎么这好几天都用不了
chunk5368 帮我取个电池取个电池
chunk3933 我后台认证身份给通过一下
chunk2413 那个电池的套餐我现在重新买了一个你那边看一下重新帮我之前买的套餐加上来
chunk8238 1878652
chunk6694 我现在我充了两块钱的想充电但是头不太好使是一会儿充一会不充的那我怎么办呢
chunk2049 你们安充电桩要怎么收费的
chunk3353 放电柜我把电池放进去之后关上之后它就没有再打开了它显示换电失败它显示电池没有放进去
chunk1644 可以帮我电池临时打开一下吗
chunk4150 这样我说我这边现在为什么不能更换套餐这边
chunk1052 我要我要退电我的电池退过去了之后我这边还显示套餐还剩一千什么原因
chunk2609 我电瓶放错箱了
chunk2438 柜子里那个线材没出来刚刚买的
chunk7375 它把电池给坑了账号
chunk7175 这锂换电刚换的电池不能用它上面显示异常怎么回事儿
chunk1189 电瓶我好长时间没用了然后这会儿换电的时候显示没放电瓶
chunk224 我充电小斑马我从毕业那拿买了张卡在页面显示激活卡号怎么手机输完之后验证码一直收不到什么情况这些卡被激活过了吗
chunk96 线材没有出来
chunk6066 我这边寄存不了
chunk7717 支付宝扣了我一倍钱怎么联系商家呀
chunk3561 我们这边充电五块钱是多少度电
chunk1236 就我上次不是买了个电池套餐嘛买电池装不进去了于是把订单退了他请问是什么时候退回来呀
chunk6870 为什么总是换电失败扫完码扫完码之后把电瓶给放里面然后关上门让然后待会儿弹出来还是门
chunk5112 我是在成都这边天府五街这边我开一个修车铺卖车的我想装一个这里换的柜子我怎么申请呢
chunk4247 怎么扣了50的押金不是免押金的么
chunk7306 本身我两个手机上电拿肯定是不方便想把你们这换电的转移的手机上怎么转移
chunk2837 我刚才一个六十伏的换转一个六十max是吧
chunk1243 我套餐你能看到吧
chunk2155 我手机号刚注册了一下咱们这锂换电怎么还在审核中啥时候能审核过
chunk6049 我这边不是用的这锂换电嘛然后我换手机了换手机了但是我注册的时候因为我换手机的注册的这锂换电手机号现在没有用了我换了新的手机号这账号重新怎么登
chunk7356 它续费的两天在24小时算是吧2天四十八小时是吧你交期的那一个时间在走的是吗
chunk870 就刚你们同事说按量计费我还有个疑问按量计费他说白了你把量用完他自己就会退出是吧它就不会存在时间是吧
chunk2003 我早上不是去换电了吗中间有一个扫一扫然后我点了他没有相机特权早上都能扫的为什么就晚上就不能用了
chunk7630 这锂换电是不是跨了区域就不能使用了
chunk3115 我的电池我都放到四号柜了它显示换电失败它显示空箱未放入电池
chunk2955 我充电的钱充进去现在还没用完能不能退呀
chunk7451 我福州这边有这种这锂换电这种电池吗
chunk3219 北京的充电小斑马的充电柜然后我们社区的充电柜然后不能用
chunk7011 我想我电池可能最近暂时十天半个月可能不用我想暂停一下子
chunk3263 我是在四号充着电呢我用我的手机充着的用我的手机微信什么你看是正常充着来吗
chunk5192 不是按一整个月是按天数算的对不对
chunk5225 我账号可以用我老婆的支付宝去免押金吗
chunk6954 我电池昨天我没跑今天过来换呀它本来有电池的它这上面显示没电
chunk8210 换电是怎么租的
chunk2140 咱们这里换电有四十八50的电池是吗
chunk3071 我就想说什么事吧昨天凌晨然后去你们这里换电那他不是扣我五百块钱吗
chunk5412 咱们平台不是有邀请人给五十块钱吗我邀请了两个人之后这一百块钱为什么还不到账
chunk3647 我现在时间套餐快到期了然后我想续但是我不想续max了我想只续四十八但是为什么我续费它只能续费四十八max
chunk4787 刚才我后来给你电进去了十号仓他这边都没出来这边电池都没弄出来呀
chunk4398 电柜怎么现在扫码扫出来什么失败
chunk804 你们帮我看一下我评估是不是通过了因为当时我没填号码嘛后来我填了填了之后一两天就通过了但是现在一个礼拜了嘛一个礼拜之后我先打电话问我打电话问一问呢把那押金给我退回来
chunk4463 我现在要在别的城市租电池然后我钱退的要多久
chunk2307 我这附近显示有一个电柜怎么找不到
chunk6770 我的押金我换电池退了押金一号就申请退款了为什么到现在没有退到退款到位
chunk2430 刚才一个工作人员在接我电话一直骂我我现在来骂你
chunk675 你说的意思按电池还回去可以寄存是那可以时间往后延时是不是
chunk8065 我的设备连接好之后显示离线一直充不上电
chunk3600 我上一个电池跑了多少千米
chunk5730 我这里有个充电桩机子坏掉了
chunk8032 我这边跨区的然后这电池我之前是在那边的时候还没过来这边的时候已经还回去了吧现在是想在这边用但是现在扫不出来
chunk5072 刚下载APP还没有购买的我看那上面写的是三天不换电的话会有馈电完了到时候要退的话我要扣钱的对吗
chunk2323 我这锂换电池插口跟我电瓶车插线头接不上是怎么搞
chunk3815 我从十一点多充的然后两点多就停了嘛我充的是两块钱半小时呢
chunk4900 202308075031
chunk3103 昨天我退了一个套餐但是我刚看的话他又没有退什么也没有什么意思
chunk848 我们乌镇的站点站里面一个电信都没有
chunk3037 你们里边插座充电站为什么老是没法插牢了里边铜片都松掉了吗都没法充电对我换了三个插头都没法直接连通
chunk4644 电柜的编号是吧
chunk3986 我现在用的是六十伏的电池然后如果我要是租六十max的电池的话能不能叠加我这还剩二十多天
chunk271 我这边刚在换电的时候它上面显示换电失败但是我已经把柜门打开把旧电池放进放进去的然后它现在我看了一下订单它上面没有显示我把放入我只有取出而已有影响吗
chunk5000 我在江南浦宁这边充电怎么回事他一会儿就断电了断电后又来插了又结束了还是显示没电我去了人家店里说我的电充电器是好的
chunk5613 我刚扫了一个充电的三块钱然后它现在一直就也没显示充电开始然后我的灯也不亮
chunk5257 我不是扫码已经发了门了吗然后他发了电池放进去了我发完之后他没有弹电池出来
chunk6273 您这边这锂换电是不是有限制
chunk4448 这里有两个电柜但是换不了电
chunk3251 我年前的时候不是租了电瓶吗然后回来我们是今天刚回来然后今天凌晨凌晨的时候他扣了五百块钱说失联了因为我套餐
chunk5134 这里上城区恒丰坊南门二号柜这里一二三四好五四三二这几个柜全部都显示满了状态换不了电你们什么时候派人处理一下
chunk2560 为什么我这个电池年前的时候寄存了然后我现在要取电池它现在显示未知换电站无法取电呢
chunk7097 刚才有个客服说我存进去的电池不是我的电池然后我想知道他知道现在电池的编号是多少跟我现在我本身绑定的编号是不是一个
chunk5237 你看我来电手机号是不是181的
chunk8008 我之前寄存的电池现在没办法取出来之前在宁波寄存的我现在义乌能不能取得出来呢
chunk3316 叫我电池归还然后它卡住了应该是应该是放反了它卡住电池柜了然后归还不成功
chunk7418 我这边是站点的有个骑手要转天数池
chunk323 昨天我打过电话的你还记得的吗
chunk1645 我电池买了用不了的
chunk2083 你们的电柜怎么就三个电池而且都是红的
chunk3127 我在文海南路地铁站换电然后我把电池放进六号箱了它怎么显示换电失败我一看七号箱还也是开着的我可能是放错了
chunk647 我买的线他没掉出来
chunk1905 六十MAX电池是怎么换呢
chunk454 我一月二十四号电池购买套餐我回去稍等一下我这边有车过去稍等一下
chunk8336 我看没有换电柜
chunk2475 我想租电瓶就是找这个地不好找那怎么导航
chunk4570 我刚才说在闪付账载APP说输入了一个三百一十块钱什么在这锂换电卡怎么没法用了
chunk6176 停个几分钟就等一会儿再试是吧好的他灯已经灭掉了是吧
chunk456 我现在我换了一下套餐然后电池导不出来
